index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
1, NVIDIA RTX 5000 Ada Generation, 15, 3, 32760, 1446
2, NVIDIA RTX 5000 Ada Generation, 15, 3, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 94, 76, 32760, 3885
1, NVIDIA RTX 5000 Ada Generation, 14, 3, 32760, 1448
2, NVIDIA RTX 5000 Ada Generation, 11, 2, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 96, 77, 32760, 3885
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1448
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 94, 76, 32760, 3885
1, NVIDIA RTX 5000 Ada Generation, 11, 2, 32760, 1448
2, NVIDIA RTX 5000 Ada Generation, 13, 2, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 94, 76, 32760, 3885
1, NVIDIA RTX 5000 Ada Generation, 11, 2, 32760, 1450
2, NVIDIA RTX 5000 Ada Generation, 15, 3, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 96, 77, 32760, 3885
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1450
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 93, 75, 32760, 3885
1, NVIDIA RTX 5000 Ada Generation, 9, 2, 32760, 1450
2, NVIDIA RTX 5000 Ada Generation, 15, 3, 32760, 1450
0, NVIDIA RTX 5000 Ada Generation, 13, 2, 32760, 4495
1, NVIDIA RTX 5000 Ada Generation, 1, 0, 32760, 1398
2, NVIDIA RTX 5000 Ada Generation, 13, 2, 32760, 1398
0, NVIDIA RTX 5000 Ada Generation, 55, 54, 32760, 3027
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1400
2, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1400
0, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 3174
1, NVIDIA RTX 5000 Ada Generation, 0, 0, 32760, 1400
